42.3631 -71.065, all phase plumbing
64.849 -147.813, us mineral resources program
64.8425 -147.724, us passport agency
64.8425 -147.724, us post office
64.849 -147.826, us post office
64.815 -147.882, us post office
64.8906 -147.628, us post office
64.8276 -147.639, us post office
64.8461 -147.813, us rural development
64.8281 -147.812, us transportation dept
64.8377 -147.718, us travel
64.8417 -147.718, us vocational rehabilitation
64.8145 -147.772, us water resources
64.8541 -147.813, us water resources div
64.8169 -147.779, usa today
64.8378 -147.71, usgsa public building svc
64.8436 -147.722, usibelli coal mine inc
64.9401 -147.402, usibelli coal mine kbc
64.8426 -147.719, uskh architects engineers
64.8534 -147.811, utility services of alaska
64.9341 -147.928, v f grace inc
64.8393 -147.72, vagabond travel
64.8406 -147.731, valerie m therrien atty-law pc
64.9281 -147.865, vallata
64.8371 -147.716, valley kids
64.9414 -147.841, valley landscaping
64.8363 -147.79, valley of blessing church
64.8371 -147.716, valley ventures
64.8591 -147.917, valley visions consulting inc
64.8363 -147.79, value village
55.3801 -131.682, wolfs concrete finishing
55.3073 -131.528, whiteside enterprises
55.3801 -131.682, flooring services
55.3601 -131.681, floor decor and more
55.3279 -131.613, ohmers renderings
55.3129 -131.588, carson construction
55.3801 -131.682, a a a pest pros
55.3801 -131.682, aurora roofing
55.4299 -131.789, channel seamless gutter roofg
55.3801 -131.682, variety painting & roofing
55.3507 -131.671, hometown flooring
55.3801 -131.682, southeast carpets & draperies
55.3394 -131.636, channel electric inc
55.3801 -131.682, ever electric inc
55.3103 -131.582, jacks painting
55.3801 -131.682, larry d painter
55.3801 -131.682, trans alaska restaurant eqp
55.3801 -131.682, jacobson heating & rfrgn
55.3801 -131.682, ketchikan mechanical inc
55.3801 -131.682, southast fire prtection contrs
55.3424 -131.634, bob hulse plumbing inc
55.4097 -131.729, southeast construction inc
55.3801 -131.682, southeast backhoe service inc
55.3801 -131.682, ljs & sons
55.3462 -131.658, captains quarters & breakfast
55.3801 -131.682, pacific log & lumber ltd
55.3801 -131.682, phoenix logging co a partnr
55.3801 -131.682, ketchikan cutting co
55.3801 -131.682, gildersleeve logging co inc
55.3801 -131.682, northwest logging inc
55.3801 -131.682, evergreen timber llc
55.3801 -131.682, helicopter services inc
55.3801 -131.682, miller inc
61.5856 -149.316, alaska water conditioning inc
61.5781 -149.429, alaska waterski ctr
61.6141 -149.457, alaska weld
61.5801 -149.461, alaska well & pump
61.9071 -150.067, alaska winter excursions
61.5928 -149.392, alaska woodworks
61.6141 -149.457, alaska wool products
61.5792 -149.36, alaska's best satellite
61.6049 -149.463, alaska's cabin fever relief
61.6099 -149.328, alaska's nautical training
61.5531 -149.651, alaska's trails & tails
61.6141 -149.457, alaskamls.com
61.6141 -149.457, alaskan bail bonds
61.5531 -149.651, alaskan colors
61.6141 -149.457, alaskan distributors
61.7321 -150.12, alaskan dream espresso
61.6141 -149.457, alaskan electrical svc
61.582 -149.441, alaskan family dental ctr
61.5818 -149.44, alaskan gold rush jewelers
61.6141 -149.457, alaskan hospitality baskets
61.7321 -150.12, alaskan host bed & breakfast
61.6308 -149.415, alaskan industries
61.5801 -149.461, alaskan marine documentation
61.5811 -149.444, alaskan musher
61.6521 -149.92, alaskan sled dogs
61.6141 -149.307, alaskan splendor b & b limo
61.6168 -149.328, alaskan tnt excavation
61.5714 -149.381, alaskan view motel
61.6521 -149.92, alaskian custom expeditions
61.5858 -149.376, alcan electric inc
61.5822 -149.463, all about herbs
61.5861 -149.303, all creatures veterinary clnc
61.5821 -149.438, all i saw cookware
61.6281 -149.338, all phase roofing
61.5771 -149.335, all star child care
61.5917 -149.464, all star construction
61.1927 -149.86, first christian church
61.1879 -149.85, first christian meth episc chr
61.1814 -149.849, first church of god
61.2104 -149.892, first church of the nazarene
61.2093 -149.903, first church-christ scientist
61.1481 -149.829, first class auto body
61.2161 -149.876, first class painting
61.1972 -149.75, first cme church
61.2066 -149.887, first command financial plan
61.2161 -149.876, first commodity traders/maxxis
61.195 -149.834, first congregational church
61.2038 -149.808, first health svc corp
61.1228 -149.862, first interstate bank-alaska
61.2005 -149.785, first korean baptist church
61.181 -149.825, first lms samoan church
61.1867 -149.919, first maintenance co
61.1955 -149.911, first maintenance inc
61.1089 -149.858, first medical ctr
61.1805 -149.889, first mental health
61.1534 -149.985, first missionary baptist chr
61.1901 -149.911, first mortgage inc
61.2122 -149.734, first national bank
61.1951 -149.906, first national bank
61.2043 -149.869, first national bank
61.2036 -149.869, first national bank
61.1883 -149.886, first national bank
61.2141 -149.864, first national bank
61.1955 -149.782, first national bank
61.2183 -149.894, first national bank
61.1417 -149.864, first national bank
61.1883 -149.883, first national bank alaska
61.2161 -149.876, first national bank jobline
61.2193 -149.869, first native baptist church
61.2191 -149.888, seward phoenix log
61.2191 -149.888, greatland graphics
61.2191 -149.888, conocophillips alaska inc
61.2191 -149.888, tonys enterprises
61.2191 -149.888, counter tops by rejio
61.2191 -149.888, fletchers masonry
61.2191 -149.888, anchor roofing construction
61.2191 -149.888, seamless flooring systems
61.2191 -149.888, edt security service
61.2191 -149.888, rock creek mining company
61.2191 -149.888, fairweather incorporated
61.2191 -149.888, swalling construction co ofc
61.1891 -149.906, posh house
61.2191 -149.888, freespan system inc
61.2191 -149.888, swank construction
61.1101 -149.857, guitreaus technical
61.1101 -149.857, casa llc
61.1101 -149.857, b & a mobile mix concrete
61.1101 -149.857, glacier chain supplies inc
61.1101 -149.857, jennies workshop inc
61.1101 -149.857, aaa american sign and lighting
61.1101 -149.857, patrick faherty
61.1101 -149.857, tom mortensen & assoc
61.1101 -149.857, bethel services inc
61.1101 -149.857, denali general contractors
61.1101 -149.857, h watt & scott inc
61.1101 -149.857, premier cnstr surveys llc
61.1101 -149.857, johnson construction
61.1101 -149.857, thomas development inc
61.1101 -149.857, t & m construction
61.1101 -149.857, rockford corporation
61.1101 -149.857, tam construction inc
61.1101 -149.857, crown pointe inc
61.1101 -149.857, arctic residential res corp
64.8591 -147.917, van wyhe rogers
64.8273 -147.715, variety motors
64.8281 -147.715, vector marketing corp
64.8552 -147.763, vend-alaska
64.8481 -147.684, verizon information svc
64.8522 -147.773, vertex insulation
64.8467 -147.703, veterans of foreign wars
64.8963 -147.662, vicki rayburn music
64.8372 -147.796, victorian parlor antiques
64.8312 -147.716, victory christian faith ctr
64.811 -147.71, video machine inc
64.8971 -147.663, village mobile home park
64.85 -147.699, vip dry cleaners & lndrmt
64.8389 -147.743, virgie's sari-sari
64.781 -148, vision quest
64.8377 -147.718, vista travel inc
64.8248 -147.886, vital signs
64.818 -147.679, vocational rehabilitation dept
64.8271 -147.79, voluntary taxes
64.8451 -147.812, volunteer action ctr
64.8311 -147.729, volunteers in policing
64.8454 -147.855, voorhees concrete cutting
64.8302 -147.744, george r vrablik md
64.8113 -147.91, w a inc
64.8271 -147.789, wagner excavating
64.8451 -147.698, wakefield builders
64.8586 -147.69, wal-mart supercenter
64.8507 -147.702, waldenbooks
64.8371 -147.716, wales tec inc
64.8449 -147.743, walkada apartments
64.8475 -147.706, wallace wallace & wakefield
64.8452 -147.714, walleri law offices
64.8125 -147.787, wallner excavating inc
55.3801 -131.682, usa today
55.3801 -131.682, sun glass designs
55.3801 -131.682, austin powder company
55.3801 -131.682, tongass substance screening
55.3801 -131.682, royalty co
55.3801 -131.682, rons plumbing & heating
55.3599 -131.687, candle lady
55.4381 -131.803, fluke signs north
55.3751 -131.718, sign pro of juneau
55.3421 -131.641, blue heron designs
55.3408 -131.64, gateway games
55.2978 -131.534, nathan jackson
55.3801 -131.682, alaska ship & drydock inc
55.3801 -131.682, don cunning
55.3421 -131.622, aero services
55.3801 -131.682, hanger
55.3801 -131.682, columbia helicopters inc
55.3801 -131.682, homestead skiffs llc
55.3267 -131.523, n picific tecn inc
55.3522 -131.685, ketchikan ranger district
55.5351 -133.014, b-3 contractors inc
55.5351 -133.014, phoenix logging company
55.5351 -133.014, prince wales electric and r
55.5351 -133.014, toms burner service
55.5351 -133.014, p & h construction
55.4691 -132.855, ziegler construction
55.5511 -133.081, rainbird drilling inc
55.5351 -133.014, larry lee trumble
55.5531 -133.097, maria elena f/v
55.5351 -133.014, wildfish co
55.4726 -131.793, carson marine charters inc
55.3801 -131.682, alaska general seafood
55.3801 -131.682, norquest seafoods inc
55.3801 -131.682, ocean point fisheries
61.5745 -149.562, all things wild taxidermy
61.7321 -150.12, all valley svc
61.5421 -149.419, all ways storage & rental co
61.5722 -149.702, all-n-1 svc
61.5743 -149.405, allen & petersen appliance ctr
61.578 -149.441, allied communications
61.5826 -149.427, aloha dental care
61.5586 -149.351, alpenview medical svc
61.5844 -149.442, alpha counseling & education
61.5817 -149.472, alpine chiropractic ctr
61.6141 -149.457, alpine pure air & water prdcts
61.5761 -149.602, alpine septic pumping inc
61.6141 -149.457, alpine technologies
61.58 -149.434, aluminum works
61.6002 -149.429, alyeska technologies a tech
61.569 -149.347, ambassador window cleaning
61.5812 -149.448, america's lending group
61.6141 -149.457, american dream construction
61.6141 -149.457, american legion
61.6141 -149.457, american legion bingo
61.5969 -149.367, american marine hyperbarics
61.58 -149.4, american park & sell
61.5848 -149.445, american red cross
61.5811 -149.444, american satellite
61.5733 -149.389, american tattoo
61.6141 -149.457, amigalaska productions
61.5952 -149.436, amvets post
61.5421 -149.419, amway distributors
61.5783 -149.362, amy henry's heated storage
61.7321 -150.12, anchor chiropractic healing
61.5691 -149.328, anchorage daily news
61.6141 -149.457, anchorage drywall
61.5819 -149.3, anchorage handyman svc
61.6431 -149.289, anchorage tank & welding
61.6431 -149.292, anchorage tank & welding inc
61.6228 -149.313, anchors away cruise outlet
61.2125 -149.894, first presbyterian church
61.1879 -149.886, first priority mortgage
61.1594 -149.835, first samoan church
61.2123 -149.854, first samoan stand by faith
61.1951 -149.945, first samoan united methodist
61.2138 -149.856, first spanish assemblies-god
61.1255 -149.864, first student
61.2066 -149.808, first tabernacle
61.2138 -149.896, first united methodist church
61.2161 -149.876, fish
61.1594 -149.888, fish & game dept
61.1806 -149.775, fish & wildlife protection
61.1101 -149.857, fish alaska magazine
61.1541 -149.958, fish site
61.1268 -149.947, fish talk consulting
61.0931 -149.785, fish wish charters
61.1901 -149.892, fishboy outfitters
61.2183 -149.889, fisherman's express
61.2164 -149.882, fishing lodge inc
61.2161 -149.876, fit for health
61.219 -149.792, fitzgerald photography
61.2188 -149.892, five fifteen club
61.2143 -149.837, five one victor
61.1608 -149.835, five star automotive repair
61.1886 -149.944, five star entertainment
61.1201 -149.89, five star insultators inc
61.1201 -149.89, five star roofing
61.1585 -149.872, fivestarappliance & electronic
61.195 -149.892, flash tan
61.0895 -149.694, flattop technical svc
61.2201 -149.831, fleenor paper co
61.1663 -149.867, fleet liquidators
61.2138 -149.906, hugh w fleischer
61.2193 -149.902, hugh w fleischer
61.1201 -149.89, fletcher's masonry
61.1601 -149.984, flight alaska inc
61.1101 -149.857, bn contracting inc
61.1101 -149.857, twa home repair service llc
61.1101 -149.857, faltz deck & patio builders
61.1101 -149.857, four seasons
61.1101 -149.857, timberline homes inc
61.1101 -149.857, janigo construction
61.1101 -149.857, kopitch construction
61.1101 -149.857, north slopes inspection dist
61.1101 -149.857, tuboscoope
61.1101 -149.857, parker drilling company
61.1101 -149.857, record center
61.1101 -149.857, julian creek mining
61.1101 -149.857, jon
61.1101 -149.857, salmon express
61.1101 -149.857, interceptor owners fv mu
61.1101 -149.857, alaska deep sea adventure
61.1101 -149.857, northern greens
61.1101 -149.857, arctic green llc
61.1101 -149.857, alpine tree & brush cutng svcs
61.1101 -149.857, landscape resources corp
61.1101 -149.857, smith cable systems inc
61.1101 -149.857, t a b electric inc
61.1101 -149.857, bomax inc
61.1101 -149.857, arctic lights electric inc
61.1101 -149.857, rams horn electric inc
61.1101 -149.857, toklat electric inc
61.1101 -149.857, cassidys plumbing & htg llc
61.1101 -149.857, aarow pump & well service
61.1101 -149.857, aurora refrigeration inc
61.1101 -149.857, denali fire protection
61.1101 -149.857, noble mechanical
61.1101 -149.857, ancroge roofing
61.1101 -149.857, premier roofing co
61.1101 -149.857, first choice roofing
61.1101 -149.857, twin peaks roofing
64.8459 -147.759, wallpaper warehouse
64.8426 -147.725, walsh kelliher & sharp
64.9401 -147.402, laurie walton
64.9401 -147.402, lonnie ward
64.8331 -147.647, wareforce inc
64.8371 -147.716, sheree warner
64.8574 -147.759, wartes floor covering
64.836 -147.727, warwick & schikora
64.8132 -147.76, waste management-star
64.8451 -147.96, water wagon llc
64.8891 -147.851, watercolors by nikki kinne
64.8151 -147.707, waterman
64.8363 -147.803, wayland baptist university
64.8298 -147.611, wayland baptist university
64.8989 -147.701, wayne's air supply
64.8371 -147.716, wdtm
64.8147 -147.706, weaver brothers inc
64.8451 -147.812, web weavers
64.8386 -147.788, weber stump grinding
64.8372 -147.768, mark weber
64.8151 -147.707, webmasters
64.843 -147.722, pamela w webster
64.8426 -147.725, wedbush morgan securities
64.8615 -147.723, wedgewood resort
64.8694 -147.067, weidner electric rebuilders
64.8404 -147.724, weights & measures dept
64.9686 -147.577, welding shop
64.8497 -147.732, well street art co
64.8861 -147.587, weller elementary school
64.8508 -147.703, wells fargo bank
64.841 -147.72, wells fargo bank
64.8375 -147.721, wells fargo bank
64.849 -147.813, wells fargo bank
55.3801 -131.682, rainbird drilling inc
55.3801 -131.682, trident seafoods corporation
55.3603 -131.702, hals equipment & supplies
55.7511 -132.865, southern se reg aqucltre assn
55.7511 -132.865, miguel n marin
60.3311 -151.284, heath r duncan
60.3311 -151.284, coho partnership
60.3311 -151.284, tarma grooming
60.4341 -151.283, whisper wind farm & stables
60.3311 -151.284, coopers wunded bear farms kenl
60.3311 -151.284, webb fish co
60.3311 -151.284, moerliens general contractor
60.3311 -151.284, rozak excavating and cnstr
60.3311 -151.284, sundance construction company
60.4311 -151.286, online systems
60.3311 -151.284, matlock ltd
60.3311 -151.284, silver fox slippers
60.3311 -151.284, salamander pads incorporated
60.3311 -151.284, gates construction inc
60.3191 -151.296, smileys custom contracting
60.3311 -151.284, kasilof construction company
60.3311 -151.284, earth works
60.3311 -151.284, salamander exhaust wraps inc
60.5563 -151.241, olgas jewelry
60.6331 -151.163, bj services company
60.6331 -151.163, national oilwell
60.6331 -151.163, industrial water treatment
60.6331 -151.163, h p parts & machines
60.5551 -151.245, satech
60.6331 -151.163, artic instilation & coating
60.5506 -151.141, beaver creek docks inc
60.5681 -151.281, porta blast and industrial
60.5465 -151.147, nicks ironworks
60.6331 -151.163, metal magic
60.5578 -151.116, cook inlet stone products
61.6182 -149.385, anderson door
61.6141 -149.457, angel haven lodge
61.5765 -149.407, angel nails
61.6091 -149.77, animal food warehouse
61.5821 -149.438, annabells bargain books
61.6183 -149.373, antonovich contracting
61.6131 -149.403, apd enterprise
61.6352 -149.265, apex surveying & consulting
61.5751 -149.645, apostolic worship ctr
61.6168 -149.374, appraisal co of mat-su
61.5939 -149.43, aqua vac
61.5792 -149.495, arby's
61.6141 -149.457, archibald drilling svc
61.5829 -149.448, architects alaska
61.5938 -149.387, arctic builders source inc
61.5849 -149.38, arctic circle club of n amer
61.5729 -149.389, arctic custom guns
61.5823 -149.462, arctic flame
61.57 -149.331, arctic fox taxidermy studio
61.5821 -149.438, arctic rose fine fashions
61.6141 -149.457, arctic siding & supply
61.6115 -149.331, arctic sun distributors
61.6091 -149.77, arctic transmissions
61.6141 -149.457, walter r armstrong dds
61.5826 -149.427, armured usa inc
61.5976 -149.366, army national guard
61.5976 -149.366, army national guard recruiting
61.5531 -149.651, arnold gagnon contracting
61.5531 -149.651, arrowhead environmental svc
61.5883 -149.456, artistry of movement
61.6249 -149.435, ask educational computer
61.6141 -149.457, aspen construction
61.5709 -149.452, assembly of god-wasilla
61.6651 -149.465, attic antiques & collectibles
61.5841 -149.441, attorney's process svc
61.1571 -149.883, flight deck pizza
61.2198 -149.733, flo's pancake house
61.1863 -149.976, floats alaska
61.2161 -149.876, floor max
61.2031 -149.749, floor seasons inc
61.1644 -149.897, floor supply
61.1834 -149.866, flooring designs
61.1731 -149.889, floral expressions
61.1089 -149.854, floral expressions
61.1951 -149.916, floral expressions
61.2157 -149.821, floral expressions
61.1372 -149.954, floral expressions
61.1955 -149.737, floral expressions
61.1444 -149.867, florales
61.2178 -149.882, florcraft carpet one
61.1824 -149.849, flores d'columbia
61.2161 -149.876, florio engineering science
61.2022 -149.84, flowerama
61.2099 -149.762, flowers by june
61.1951 -149.84, flowers for the moment
61.1069 -149.859, floyd's garage
61.1635 -149.881, fluid machinery
61.1201 -149.89, flutissimo
61.1902 -149.908, fly by night club
61.2104 -149.857, fly guys
61.1771 -149.97, fly in restaurant
61.1859 -149.976, fly north air charter
61.2171 -149.9, flying colors
61.1162 -149.755, flying colors inc
61.1381 -149.844, flying dutchman european pstry
61.1775 -149.941, flying machine restaurant
61.1938 -149.878, flypaper
61.1571 -149.883, fmc energy systems
61.1541 -149.958, fnaws
61.135 -149.88, fnw/ferguson
61.1101 -149.857, all weather inc
61.1101 -149.857, alaska standard roofing
61.1101 -149.857, meehleis steel of north inc
61.1101 -149.857, m w drilling inc
61.1101 -149.857, alpine drilling & enterprises
61.1101 -149.857, ak sealco
61.1101 -149.857, yukon pumping service inc
61.1101 -149.857, parker masonry & tile
61.1101 -149.857, interior wall systems inc
61.1101 -149.857, far north builders llc
61.1101 -149.857, insulate alaska
61.1101 -149.857, california closet co
61.1101 -149.857, absolute environmental svcs
61.1101 -149.857, lawson roofing & remodeling in
61.1101 -149.857, earths bounty foods llc
61.1101 -149.857, alaska canine cookies inc
61.1101 -149.857, fishermans wild alskan seafood
61.1101 -149.857, alaska glacier refreshments
61.2141 -149.864, northern management services
61.2171 -149.9, mc lin contractors inc
61.2171 -149.9, northern services
61.2171 -149.9, dar-con corporation
61.2171 -149.9, alaska tree doctor
61.2171 -149.9, williwaw publishing co
61.2171 -149.9, anchorage daily news inc
61.2171 -149.9, mcclathchy newspapers inc
61.2171 -149.9, p s publications
61.2171 -149.9, alaska fiberglass solutions
61.2171 -149.9, polaris insulation ltd
61.2171 -149.9, urethane alaska
61.2171 -149.9, dls supply
61.2171 -149.9, stewart construction co
61.2171 -149.9, wruck wade crpting instlltions
61.2171 -149.9, service one heating & cooling
64.8487 -147.704, wells fargo financial
64.8486 -147.705, wells fargo home mortgage inc
64.8087 -147.71, wells repair
64.8363 -147.758, wendy's
64.8476 -147.704, wendy's
64.8302 -147.744, william w wennen md
64.8476 -147.812, todd z wentz dds
64.8144 -147.756, pamela wescott
64.8183 -147.778, west coast distr
64.8494 -147.818, west valley high school
64.849 -147.822, west valley vision ctr inc
64.8367 -147.716, west wind construction
64.8127 -147.772, western mechanical inc
64.8143 -147.751, western power & equipment corp
64.842 -147.721, western travel
64.8403 -147.714, westmark fairbanks hotel
64.8371 -147.881, westside video
64.8151 -147.707, white birch ent inc
64.8151 -147.707, white environmental consultant
64.8541 -147.81, whole earth grocery & deli
64.8878 -147.496, wholesome touch
64.8299 -147.728, wic food program
64.8132 -147.762, wick constructors inc
64.8372 -147.713, wilbur brothers sheet metal
64.7927 -148.036, wild alaska-ktm-husaberg
64.8717 -147.819, wild pond therapeutic massage
64.8527 -147.686, wild rose performance horse
64.8371 -147.811, wilderness cache ceramics
64.846 -147.705, wilderness canoe adventures
64.9064 -147.726, wilderness fishing inc
64.9347 -147.56, wildview cabin vacation home
64.8861 -147.677, wildwood mobile home court
64.8302 -147.744, william h montano inc
60.6673 -151.311, sign works
60.6997 -151.38, kenai neon sign company
60.5658 -151.244, everts air fuel inc
60.6331 -151.163, stans drywall painting
60.6331 -151.163, leuenhagens drywall & paint
60.6331 -151.163, independent concrete entrprs
60.6201 -151.332, spectrum services inc
60.5004 -151.276, kelly electric inc
60.6331 -151.163, kachemak electric co inc
60.6331 -151.163, mount spurr cabinets & mllwk
60.6901 -151.321, northland drilling
60.6676 -151.29, water systems & service
60.6331 -151.163, peninsula drilling
60.5632 -151.266, hansons roofing
60.6331 -151.163, duct or sheetmetal inc
60.6331 -151.163, miller sheet metal & heating
60.6509 -151.342, rezins concrete
60.5601 -151.107, russs construction co
60.5123 -151.275, rutherford floor covering
60.6076 -151.325, grace painting
60.6331 -151.163, k i m c o inc
60.5175 -151.235, mikes plumbing & heating
60.5535 -151.108, whites plumbing & heating
60.5614 -151.275, struempler plumbing
60.5647 -151.195, everything electric
60.6331 -151.163, brooks electric
60.6331 -151.163, cook inlet sign & lighting
60.6331 -151.163, pacific star seafoods inc
60.6331 -151.163, inlet salmon
60.6331 -151.163, salamatof seafoods inc
60.6678 -151.31, alaska metal
60.5003 -151.276, wjr ltd
60.6331 -151.163, efta net hanging
61.5855 -149.326, audio services corp
61.5979 -149.437, aunty cheryl's child care
61.6141 -149.457, aurora academy
61.5799 -149.461, aurora cleaning svc
61.5845 -149.337, aurora dental ctr
61.5351 -149.558, aurora enterprises
61.5811 -149.45, aurora flooring
61.5793 -149.442, aurora imports
61.5661 -149.313, aurora portable toilets
61.6141 -149.457, auto solutions
61.5786 -149.332, autodidactic press
61.5811 -149.45, avant gardens
61.5825 -149.429, avanti corp
61.6141 -149.457, avon independent sales rep
61.5531 -149.651, avon products
61.5531 -149.651, avp distributors
61.5698 -149.62, axberg builders
61.6141 -149.457, b & b farms
61.5474 -149.458, b & e landscaping & excavation
61.5825 -149.429, b & k daniel enterprises inc
61.5955 -149.423, b & r communications
61.5801 -149.461, b d builders
61.5785 -149.415, b howard & assoc
61.6402 -149.34, b original signs
61.583 -149.457, back & neck pain relief ctr
61.5907 -149.295, bagels alaska
61.6141 -149.457, bailey construction management
61.5933 -149.397, bailey's backhoe
61.6091 -149.77, bailey's furniture outlet
61.577 -149.411, bailey's sleep gallery
61.6078 -149.322, bald mountain landscape co
61.6131 -149.397, bald mountain lumber
61.6648 -149.372, baldy mountain rental
61.5531 -149.651, bales construction
61.5811 -149.45, banana pepper espresso
61.583 -149.457, bandwagon skate & snowboard
61.1955 -149.9, focus co
61.1844 -149.897, focus hair salon
61.1901 -149.892, fof communications
61.1444 -149.867, foley & foley
61.1955 -149.9, follett & assoc
61.1893 -149.887, fonte' coffee roaster
61.2174 -149.888, fonte' coffee roaster
61.2227 -149.842, food bank of alaska
61.1263 -149.872, food services of america
61.1138 -149.866, food transportation svc
61.2157 -149.821, foot locker
61.2174 -149.888, foot locker
61.1855 -149.868, foot locker
61.1951 -149.873, foot locker
61.1444 -149.867, foot locker
61.1883 -149.735, foothills self storage
61.2161 -149.876, footprint productions
61.2161 -149.876, for sale by owner alaska
61.1893 -149.888, for sale by owner assistance
61.2174 -149.888, for your cell only
61.1914 -149.886, ford motor credit co
61.1541 -149.958, kurt ford
61.1259 -149.717, forest & land management inc
61.2193 -149.902, forest oil corp
61.1879 -149.886, forestry div
61.1372 -149.912, forget me not assisted living
61.1101 -149.857, forget me not demos
61.1791 -149.94, forget me not hair & nail sln
61.2031 -149.749, forget-me-not business
61.1914 -149.877, forget-me-not rubber stamps
61.1944 -149.883, fortier & mikko
61.1923 -149.886, forty niner transportation inc
61.2123 -149.854, forward amusement co
61.2161 -149.876, fosler law group
61.2171 -149.9, accel fire systems inc
61.1125 -149.861, mr rooter
61.1419 -149.896, picture perfect pntg & drywall
61.145 -149.878, power electric & general contg
61.1044 -149.865, alaska refinishers
61.1444 -149.876, ats alaska inc
61.1 -149.85, alaska contrs & engineers llc
61.1105 -149.861, alaska dream kitchens
61.1286 -149.957, arctic enterprises
61.1201 -149.89, integrity framing
61.112 -149.871, hammer roofing
61.1427 -149.864, gallos
61.1212 -149.947, novakovichs enterprises inc
61.1228 -149.939, blackfrog specialties llp
61.1093 -149.871, firstmark homes corp
61.145 -149.878, grose brothers
61.1191 -149.871, swanson general contractors
61.1003 -149.856, sheehan drywall inc
61.1113 -149.872, quality northern drywall
61.1084 -149.861, foam & coating statewide
61.144 -149.878, cornerstone tile
61.1426 -149.877, rinos tile & stone
61.1173 -149.861, cm toms carpentry
61.1347 -149.914, gregs carpentry plus
61.1291 -149.951, jelles bent nail
61.1116 -149.862, dreyers of alaska distributor
61.144 -149.893, creative kitchen designs inc
61.1148 -149.867, pacific drilling ltd
61.1178 -149.88, digger dans backhoe
61.2191 -149.888, ebco
61.2191 -149.888, anchorage glacier pilots inc
61.2191 -149.888, mini-brute service inc
64.8403 -147.784, william pike consulting
64.843 -147.722, william r fairbanks investment
64.8421 -147.725, william r satterberg jr law
64.8631 -147.758, williams express
64.8476 -147.704, williams express
64.826 -147.714, williams express
64.9401 -147.402, susan williamson
64.8436 -147.722, willis of alaska inc
64.8375 -147.812, willow creek clothing llc
64.8302 -147.744, willow physical therapy
64.8615 -147.722, willow woods apartments
64.8496 -147.718, wilson & wilson
64.8414 -147.713, wilton adjustment svc
64.8426 -147.72, winfree law office
64.8371 -147.716, mary c wing
64.811 -147.71, wingfoot commercial tire systs
64.8151 -147.707, wings
64.8098 -147.764, wire communications inc
64.8515 -147.706, wireless retail inc
64.856 -147.809, wok n roll express
